complaint_id,date,district,category,text,sentiment,resolution_days,smart_platform_used
C000022,2021-01-01,송파구,기타,송파구 주민센터 주차 공간이 부족합니다.,중립,5,0
C000023,2021-01-01,강북구,기타,강북구 주민센터 주차 공간이 부족합니다.,중립,3,1
C000024,2021-01-01,송파구,환경,역삼동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,중립,5,0
C000025,2021-01-01,서초구,기타,서초구 지역 축제 개최를 건의합니다.,긍정,5,0
C000026,2021-01-01,서초구,기타,서초동 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,중립,6,0
C000027,2021-01-01,강남구,기타,강남구 신촌동에 공공 와이파이 확충을 요청합니다.,중립,1,0
C000028,2021-01-01,강북구,복지,강북구 청년 일자리 지원 프로그램을 확대해주세요.,긍정,6,1
C000029,2021-01-01,마포구,교통,마포구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,긍정,7,0
C000030,2021-01-02,마포구,환경,마포구 대기오염 측정소 데이터를 실시간으로 공개해주세요.,부정,4,0
C000031,2021-01-02,강남구,복지,강남구 기초생활수급자 지원 절차를 간소화해주세요.,긍정,8,0
C000032,2021-01-02,강남구,복지,강남구 기초생활수급자 지원 절차를 간소화해주세요.,부정,10,0
C000033,2021-01-02,마포구,안전,잠실동 가로등이 어두워 야간 통행이 불안합니다.,중립,2,0
C000034,2021-01-02,서초구,교통,서초구에 자전거 도로 확충이 시급합니다.,긍정,4,1
C000035,2021-01-02,강북구,환경,역삼동 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,중립,7,0
C000036,2021-01-02,강북구,기타,상암동 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,긍정,3,0
C000037,2021-01-02,강남구,기타,강남구 지역 축제 개최를 건의합니다.,긍정,3,0
C000038,2021-01-02,송파구,안전,청담동에 비상벨 설치를 건의합니다.,긍정,1,1
C000039,2021-01-02,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,긍정,9,0
C000040,2021-01-03,강북구,교통,강북구 강남역에 신호등이 고장났습니다. 빠른 수리 부탁드립니다.,부정,8,0
C000041,2021-01-03,강북구,환경,잠실동 재활용 분리수거함이 항상 가득 차 있습니다.,부정,4,0
C000042,2021-01-03,강남구,안전,강남구 어린이 보호구역 안전시설을 강화해주세요.,긍정,3,0
C000043,2021-01-03,강북구,안전,역삼동 가로등이 어두워 야간 통행이 불안합니다.,중립,2,0
C000044,2021-01-03,마포구,교통,마포구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,부정,3,1
C000045,2021-01-03,송파구,안전,강남역에 비상벨 설치를 건의합니다.,긍정,1,0
C000046,2021-01-03,강남구,안전,강남구 강남역 CCTV 설치로 범죄 예방이 필요합니다.,중립,3,0
C000047,2021-01-03,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,중립,6,1
C000048,2021-01-04,서초구,환경,서초구 역삼동 쓰레기 불법 투기 문제가 심각합니다.,긍정,3,0
C000049,2021-01-04,강북구,교통,강북구 심야 버스 노선 증편을 건의합니다.,긍정,3,1
C000050,2021-01-04,마포구,교통,출퇴근 시간대 마포구 청담동 버스 배차 간격이 너무 깁니다.,부정,5,0
C000051,2021-01-04,강남구,안전,잠실동 가로등이 어두워 야간 통행이 불안합니다.,중립,3,0
C000052,2021-01-04,강북구,기타,강남역 공공시설 예약 시스템 개선이 필요합니다.,중립,4,0
C000053,2021-01-04,마포구,기타,상암동 체육시설 이용료 할인 제도를 도입해주세요.,긍정,4,0
C000054,2021-01-04,서초구,환경,서초구 미세먼지 저감 정책을 강화해주세요.,중립,3,1
C000055,2021-01-04,서초구,안전,청담동 지진 대비 시설 점검이 필요합니다.,긍정,1,1
C000056,2021-01-04,마포구,기타,청담동 공공시설 예약 시스템 개선이 필요합니다.,부정,4,0
C000057,2021-01-04,마포구,복지,마포구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,중립,9,0
C000058,2021-01-04,강남구,복지,강남구 청년 일자리 지원 프로그램을 확대해주세요.,부정,10,0
C000059,2021-01-04,마포구,복지,마포구에 거주하는 독거노인입니다. 복지 서비스 신청 방법을 알려주세요.,중립,9,0
C000060,2021-01-04,강북구,환경,강북구 미세먼지 저감 정책을 강화해주세요.,긍정,6,0
C000061,2021-01-04,마포구,환경,마포구 미세먼지 저감 정책을 강화해주세요.,중립,5,0
C000062,2021-01-04,서초구,환경,서초구 미세먼지 저감 정책을 강화해주세요.,긍정,4,0
C000063,2021-01-04,강북구,교통,상암동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,긍정,5,1
C000064,2021-01-04,서초구,환경,서초구 미세먼지 저감 정책을 강화해주세요.,부정,4,0
C000065,2021-01-04,마포구,안전,마포구 청담동 CCTV 설치로 범죄 예방이 필요합니다.,긍정,1,1
C000066,2021-01-04,강남구,기타,강남구 신촌동에 공공 와이파이 확충을 요청합니다.,중립,4,0
C000067,2021-01-04,강남구,안전,강남구 어린이 보호구역 안전시설을 강화해주세요.,부정,4,0
C000068,2021-01-04,강북구,복지,잠실동 경로당 시설 개선을 요청드립니다.,중립,12,0
C000069,2021-01-04,서초구,기타,서초구 문화센터 프로그램을 다양화해주세요.,부정,5,0
C000070,2021-01-04,강남구,환경,강남구 대기오염 측정소 데이터를 실시간으로 공개해주세요.,중립,3,1
C000071,2021-01-04,서초구,안전,상암동에 비상벨 설치를 건의합니다.,중립,1,1
C000072,2021-01-04,강북구,안전,강북구 교대역 CCTV 설치로 범죄 예방이 필요합니다.,중립,2,0
C000073,2021-01-04,송파구,복지,송파구 청년 일자리 지원 프로그램을 확대해주세요.,중립,10,0
C000074,2021-01-05,강남구,안전,상암동 지진 대비 시설 점검이 필요합니다.,중립,3,0
C000075,2021-01-05,서초구,복지,서초구 기초생활수급자 지원 절차를 간소화해주세요.,중립,10,0
C000076,2021-01-05,강북구,복지,강북구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,긍정,5,1
C000077,2021-01-05,마포구,안전,신촌동 지진 대비 시설 점검이 필요합니다.,긍정,2,0
C000078,2021-01-05,마포구,교통,잠실동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,긍정,5,0
C000079,2021-01-05,송파구,교통,송파구에 자전거 도로 확충이 시급합니다.,부정,6,0
C000080,2021-01-05,서초구,기타,청담동 체육시설 이용료 할인 제도를 도입해주세요.,부정,2,0
C000081,2021-01-05,서초구,기타,서초구 주민센터 주차 공간이 부족합니다.,긍정,6,0
C000082,2021-01-05,서초구,기타,서초구 지역 축제 개최를 건의합니다.,중립,4,0
C000083,2021-01-05,송파구,환경,송파구 미세먼지 저감 정책을 강화해주세요.,부정,4,0
C000084,2021-01-05,강북구,복지,강북구 청년 일자리 지원 프로그램을 확대해주세요.,부정,9,0
C000085,2021-01-05,마포구,기타,교대역 체육시설 이용료 할인 제도를 도입해주세요.,긍정,5,0
C000086,2021-01-05,강남구,기타,서초동에 스마트 도시 서비스를 확대해주세요.,중립,6,0
C000087,2021-01-05,서초구,기타,청담동 체육시설 이용료 할인 제도를 도입해주세요.,중립,5,0
C000088,2021-01-05,강남구,복지,잠실동 경로당 시설 개선을 요청드립니다.,긍정,6,1
C000089,2021-01-05,강북구,환경,청담동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,부정,3,0
C000090,2021-01-05,마포구,환경,마포구 하천 수질 개선이 필요합니다.,부정,3,0
C000091,2021-01-05,강남구,교통,강남구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,부정,5,0
C000092,2021-01-05,마포구,안전,마포구 잠실동 CCTV 설치로 범죄 예방이 필요합니다.,부정,1,0
C000093,2021-01-05,강북구,안전,강북구 어린이 보호구역 안전시설을 강화해주세요.,긍정,3,0
C000094,2021-01-05,마포구,기타,교대역 체육시설 이용료 할인 제도를 도입해주세요.,중립,4,0
C000095,2021-01-05,마포구,안전,서초동 보안등 추가 설치로 골목길 안전을 확보해주세요.,중립,2,0
C000096,2021-01-05,송파구,안전,송파구 재난 대피소 위치를 명확히 안내해주세요.,긍정,2,0
C000097,2021-01-05,서초구,기타,잠실동에 스마트 도시 서비스를 확대해주세요.,긍정,4,0
C000098,2021-01-05,강북구,복지,상암동 경로당 시설 개선을 요청드립니다.,중립,9,0
C000099,2021-01-06,마포구,교통,출퇴근 시간대 마포구 서초동 버스 배차 간격이 너무 깁니다.,부정,6,0
C000100,2021-01-06,강남구,환경,강남역 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,중립,6,0
C000101,2021-01-06,마포구,안전,마포구 화재 예방 캠페인을 정기적으로 실시해주세요.,중립,2,0
C000102,2021-01-06,송파구,안전,송파구 강남역 CCTV 설치로 범죄 예방이 필요합니다.,중립,1,0
C000103,2021-01-06,서초구,복지,서초구 기초생활수급자 지원 절차를 간소화해주세요.,부정,13,0
C000104,2021-01-06,마포구,기타,교대역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,중립,4,0
C000105,2021-01-06,송파구,안전,송파구 강남역 CCTV 설치로 범죄 예방이 필요합니다.,중립,2,0
C000106,2021-01-06,송파구,환경,서초동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,중립,7,0
C000107,2021-01-06,마포구,교통,역삼동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,중립,4,1
C000108,2021-01-06,송파구,환경,서초동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,긍정,3,1
C000109,2021-01-06,송파구,복지,교대역 경로당 시설 개선을 요청드립니다.,중립,13,0
C000110,2021-01-06,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,긍정,11,0
C000111,2021-01-06,송파구,교통,송파구 신촌동에 신호등이 고장났습니다. 빠른 수리 부탁드립니다.,부정,8,0
C000112,2021-01-06,강북구,교통,강북구 잠실동에 신호등이 고장났습니다. 빠른 수리 부탁드립니다.,긍정,3,1
C000113,2021-01-06,강북구,기타,강북구 지역 축제 개최를 건의합니다.,중립,2,1
C000114,2021-01-06,강북구,기타,교대역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,긍정,4,0
C000115,2021-01-07,서초구,환경,서초동 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,부정,4,0
C000116,2021-01-07,강북구,기타,강북구 상암동에 공공 와이파이 확충을 요청합니다.,긍정,5,0
C000117,2021-01-07,송파구,안전,청담동에 비상벨 설치를 건의합니다.,부정,4,0
C000118,2021-01-07,강남구,교통,청담동 주변 불법 주차로 통행에 불편을 겪고 있습니다.,부정,5,0
C000119,2021-01-07,마포구,교통,마포구 스쿨존 과속 단속 카메라 설치를 요청합니다.,부정,4,0
C000120,2021-01-07,강북구,기타,역삼동 체육시설 이용료 할인 제도를 도입해주세요.,부정,4,0
C000121,2021-01-07,송파구,교통,신촌동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,부정,5,0
C000122,2021-01-07,송파구,환경,송파구 하천 수질 개선이 필요합니다.,긍정,5,0
C000123,2021-01-07,서초구,기타,교대역에 스마트 도시 서비스를 확대해주세요.,긍정,4,0
C000124,2021-01-07,마포구,복지,잠실동에 아동 돌봄센터 추가 설치가 필요합니다.,부정,12,0
C000125,2021-01-07,강북구,복지,잠실동 다문화가정 지원 센터 운영 시간을 연장해주세요.,부정,8,0
C000126,2021-01-07,마포구,기타,마포구 문화센터 프로그램을 다양화해주세요.,긍정,2,1
C000127,2021-01-07,서초구,환경,잠실동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,중립,4,0
C000128,2021-01-07,서초구,복지,서초구 청년 일자리 지원 프로그램을 확대해주세요.,중립,4,0
C000129,2021-01-07,마포구,환경,잠실동 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,부정,4,0
C000130,2021-01-07,송파구,기타,교대역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,부정,3,0
C000131,2021-01-07,송파구,안전,송파구 청담동 CCTV 설치로 범죄 예방이 필요합니다.,부정,2,0
C000132,2021-01-07,송파구,환경,송파구 미세먼지 저감 정책을 강화해주세요.,부정,4,0
C000133,2021-01-07,마포구,복지,마포구 기초생활수급자 지원 절차를 간소화해주세요.,긍정,8,0
C000134,2021-01-07,송파구,복지,송파구 청년 일자리 지원 프로그램을 확대해주세요.,중립,14,0
C000135,2021-01-07,강남구,복지,장애인 편의시설이 서초동에 부족합니다.,긍정,6,1
C000136,2021-01-07,송파구,복지,송파구 청년 일자리 지원 프로그램을 확대해주세요.,부정,8,0
C000137,2021-01-07,서초구,환경,서초동 소음공해로 인한 피해가 큽니다. 조치 바랍니다.,부정,4,0
C000138,2021-01-07,마포구,환경,마포구 미세먼지 저감 정책을 강화해주세요.,부정,6,0
C000139,2021-01-07,마포구,복지,마포구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,긍정,7,1
C000140,2021-01-07,강북구,기타,강북구 주민센터 주차 공간이 부족합니다.,중립,5,0
C000141,2021-01-07,서초구,환경,서초구 상암동 쓰레기 불법 투기 문제가 심각합니다.,부정,6,0
C000142,2021-01-07,송파구,교통,송파구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,긍정,6,0
C000143,2021-01-08,마포구,교통,출퇴근 시간대 마포구 서초동 버스 배차 간격이 너무 깁니다.,중립,6,0
C000144,2021-01-08,서초구,교통,서초구에 자전거 도로 확충이 시급합니다.,중립,3,0
C000145,2021-01-08,송파구,기타,강남역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,부정,4,0
C000146,2021-01-08,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,중립,13,0
C000147,2021-01-08,강북구,기타,잠실동 공공시설 예약 시스템 개선이 필요합니다.,긍정,5,0
C000148,2021-01-08,서초구,교통,출퇴근 시간대 서초구 잠실동 버스 배차 간격이 너무 깁니다.,중립,4,1
C000149,2021-01-08,강북구,환경,강북구 강남역 쓰레기 불법 투기 문제가 심각합니다.,중립,5,0
C000150,2021-01-08,마포구,안전,마포구 재난 대피소 위치를 명확히 안내해주세요.,긍정,3,0
C000151,2021-01-08,서초구,안전,잠실동 가로등이 어두워 야간 통행이 불안합니다.,중립,2,0
C000152,2021-01-08,마포구,환경,마포구 하천 수질 개선이 필요합니다.,중립,5,0
C000153,2021-01-08,강남구,복지,강남구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,중립,5,1
C000154,2021-01-08,서초구,기타,서초구 주민센터 주차 공간이 부족합니다.,긍정,3,1
C000155,2021-01-08,서초구,안전,서초구 재난 대피소 위치를 명확히 안내해주세요.,부정,2,0
C000156,2021-01-08,마포구,교통,신촌동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,부정,6,0
C000157,2021-01-08,강북구,교통,강북구에 자전거 도로 확충이 시급합니다.,중립,5,0
C000158,2021-01-08,서초구,기타,서초구 서초동에 공공 와이파이 확충을 요청합니다.,부정,6,0
C000159,2021-01-08,송파구,복지,송파구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,중립,9,0
C000160,2021-01-08,송파구,교통,송파구 심야 버스 노선 증편을 건의합니다.,긍정,7,0
C000161,2021-01-08,서초구,교통,출퇴근 시간대 서초구 신촌동 버스 배차 간격이 너무 깁니다.,부정,8,0
C000162,2021-01-08,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,부정,11,0
C000163,2021-01-08,서초구,복지,청담동에 아동 돌봄센터 추가 설치가 필요합니다.,부정,12,0
C000164,2021-01-08,송파구,기타,송파구 교대역에 공공 와이파이 확충을 요청합니다.,부정,6,0
C000165,2021-01-08,강남구,기타,교대역 체육시설 이용료 할인 제도를 도입해주세요.,부정,4,0
C000166,2021-01-08,강북구,환경,강북구 미세먼지 저감 정책을 강화해주세요.,중립,5,0
C000167,2021-01-08,송파구,안전,역삼동 가로등이 어두워 야간 통행이 불안합니다.,중립,4,0
C000168,2021-01-08,마포구,환경,마포구 대기오염 측정소 데이터를 실시간으로 공개해주세요.,중립,4,0
C000169,2021-01-08,마포구,안전,잠실동 가로등이 어두워 야간 통행이 불안합니다.,중립,3,0
C000170,2021-01-08,강북구,안전,서초동 가로등이 어두워 야간 통행이 불안합니다.,긍정,3,0
C000171,2021-01-08,서초구,기타,서초구 주민센터 주차 공간이 부족합니다.,부정,4,0
C000172,2021-01-09,송파구,환경,서초동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,긍정,5,0
C000173,2021-01-09,마포구,기타,마포구 지역 축제 개최를 건의합니다.,부정,4,0
C000174,2021-01-09,송파구,복지,송파구 청년 일자리 지원 프로그램을 확대해주세요.,긍정,8,0
C000175,2021-01-09,서초구,기타,서초동에 스마트 도시 서비스를 확대해주세요.,긍정,4,0
C000176,2021-01-09,송파구,복지,강남역에 아동 돌봄센터 추가 설치가 필요합니다.,긍정,8,0
C000177,2021-01-09,서초구,환경,강남역 재활용 분리수거함이 항상 가득 차 있습니다.,중립,5,0
C000178,2021-01-09,송파구,교통,송파구 스쿨존 과속 단속 카메라 설치를 요청합니다.,중립,3,0
C000179,2021-01-09,송파구,안전,송파구 어린이 보호구역 안전시설을 강화해주세요.,중립,2,0
C000180,2021-01-09,강남구,기타,청담동 체육시설 이용료 할인 제도를 도입해주세요.,부정,4,0
C000181,2021-01-09,송파구,교통,송파구 심야 버스 노선 증편을 건의합니다.,긍정,7,0
C000182,2021-01-09,송파구,환경,교대역 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,긍정,3,0
C000183,2021-01-09,서초구,복지,서초구 기초생활수급자 지원 절차를 간소화해주세요.,긍정,7,0
C000184,2021-01-09,마포구,안전,교대역 지진 대비 시설 점검이 필요합니다.,긍정,3,0
C000185,2021-01-10,강북구,기타,잠실동 공공시설 예약 시스템 개선이 필요합니다.,긍정,6,0
C000186,2021-01-10,서초구,환경,강남역 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,중립,5,0
C000187,2021-01-10,강북구,안전,강북구 어린이 보호구역 안전시설을 강화해주세요.,중립,3,0
C000188,2021-01-10,강북구,복지,강북구에 거주하는 독거노인입니다. 복지 서비스 신청 방법을 알려주세요.,긍정,11,0
C000189,2021-01-10,송파구,환경,강남역 재활용 분리수거함이 항상 가득 차 있습니다.,부정,4,0
C000190,2021-01-11,강남구,환경,강남구 대기오염 측정소 데이터를 실시간으로 공개해주세요.,긍정,4,0
C000191,2021-01-11,송파구,기타,교대역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,긍정,4,0
C000192,2021-01-11,강남구,환경,상암동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,부정,5,0
C000193,2021-01-11,강북구,안전,강북구 재난 대피소 위치를 명확히 안내해주세요.,긍정,1,1
C000194,2021-01-11,서초구,기타,서초구 주민센터 주차 공간이 부족합니다.,긍정,7,0
C000195,2021-01-11,송파구,복지,강남역 경로당 시설 개선을 요청드립니다.,긍정,11,0
C000196,2021-01-11,강북구,환경,강북구 하천 수질 개선이 필요합니다.,긍정,4,0
C000197,2021-01-11,서초구,교통,상암동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,긍정,3,1
C000198,2021-01-11,강북구,기타,상암동에 스마트 도시 서비스를 확대해주세요.,긍정,4,0
C000199,2021-01-11,강남구,기타,잠실동 체육시설 이용료 할인 제도를 도입해주세요.,긍정,4,0
C000200,2021-01-11,마포구,복지,마포구 보육시설 대기 기간이 너무 깁니다. 개선 방안이 필요합니다.,긍정,12,0
C000201,2021-01-11,강북구,복지,역삼동 다문화가정 지원 센터 운영 시간을 연장해주세요.,긍정,10,0
C000202,2021-01-11,강남구,교통,신촌동 주변 불법 주차로 통행에 불편을 겪고 있습니다.,부정,7,0
C000203,2021-01-11,강남구,환경,강남구 대기오염 측정소 데이터를 실시간으로 공개해주세요.,중립,4,0
C000204,2021-01-11,서초구,환경,서초구 미세먼지 저감 정책을 강화해주세요.,긍정,4,0
C000205,2021-01-11,서초구,복지,장애인 편의시설이 교대역에 부족합니다.,중립,10,0
C000206,2021-01-11,강남구,환경,강남구 하천 수질 개선이 필요합니다.,중립,2,1
C000207,2021-01-11,송파구,교통,청담동 주변 불법 주차로 통행에 불편을 겪고 있습니다.,중립,6,0
C000208,2021-01-11,서초구,기타,서초구 문화센터 프로그램을 다양화해주세요.,부정,2,1
C000209,2021-01-11,강남구,안전,강남구 신촌동 CCTV 설치로 범죄 예방이 필요합니다.,부정,4,0
C000210,2021-01-11,강남구,교통,강남구 심야 버스 노선 증편을 건의합니다.,중립,7,0
C000211,2021-01-12,강북구,환경,강북구 역삼동 쓰레기 불법 투기 문제가 심각합니다.,긍정,4,0
C000212,2021-01-12,송파구,교통,송파구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,중립,4,0
C000213,2021-01-12,강남구,안전,신촌동 보안등 추가 설치로 골목길 안전을 확보해주세요.,긍정,2,0
C000214,2021-01-12,마포구,안전,마포구 어린이 보호구역 안전시설을 강화해주세요.,부정,2,0
C000215,2021-01-12,송파구,기타,송파구 문화센터 프로그램을 다양화해주세요.,중립,3,1
C000216,2021-01-12,서초구,환경,교대역 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,부정,4,0
C000217,2021-01-12,서초구,교통,서초구 스쿨존 과속 단속 카메라 설치를 요청합니다.,부정,4,1
C000218,2021-01-12,서초구,환경,교대역 공원에 쓰레기통이 부족합니다. 추가 설치 부탁드립니다.,긍정,2,1
C000219,2021-01-12,강남구,기타,강남구 역삼동에 공공 와이파이 확충을 요청합니다.,부정,5,0
C000220,2021-01-12,강남구,환경,청담동 재활용 분리수거함이 항상 가득 차 있습니다.,긍정,5,0
C000221,2021-01-12,마포구,환경,잠실동 재활용 분리수거함이 항상 가득 차 있습니다.,부정,6,0
C000222,2021-01-12,강남구,기타,강남구 상암동에 공공 와이파이 확충을 요청합니다.,부정,5,0
C000223,2021-01-12,강남구,환경,강남구 미세먼지 저감 정책을 강화해주세요.,중립,3,1
C000224,2021-01-12,강북구,환경,강북구 신촌동 쓰레기 불법 투기 문제가 심각합니다.,중립,4,0
C000225,2021-01-12,강남구,기타,역삼동 체육시설 이용료 할인 제도를 도입해주세요.,부정,3,1
C000226,2021-01-12,강북구,환경,강북구 하천 수질 개선이 필요합니다.,중립,6,0
C000227,2021-01-12,송파구,안전,청담동 지진 대비 시설 점검이 필요합니다.,긍정,3,0
C000228,2021-01-12,강남구,기타,강남구 상암동에 공공 와이파이 확충을 요청합니다.,중립,5,0
C000229,2021-01-13,강북구,교통,강북구 심야 버스 노선 증편을 건의합니다.,중립,7,0
C000230,2021-01-13,강북구,안전,청담동 보안등 추가 설치로 골목길 안전을 확보해주세요.,중립,2,0
C000231,2021-01-13,서초구,기타,서초구 지역 축제 개최를 건의합니다.,중립,3,1
C000232,2021-01-13,마포구,기타,강남역 체육시설 이용료 할인 제도를 도입해주세요.,중립,5,0
C000233,2021-01-13,마포구,복지,강남역 다문화가정 지원 센터 운영 시간을 연장해주세요.,긍정,6,1
C000234,2021-01-13,강북구,기타,강남역 도서관 장서 확충 및 운영시간 연장을 부탁드립니다.,부정,5,0
C000235,2021-01-13,강남구,안전,교대역 지진 대비 시설 점검이 필요합니다.,긍정,3,0
C000236,2021-01-13,강북구,복지,강북구 기초생활수급자 지원 절차를 간소화해주세요.,중립,10,0
C000237,2021-01-13,서초구,환경,청담동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,부정,3,1
C000238,2021-01-13,강북구,교통,청담동에 횡단보도 신설이 필요합니다. 안전사고 위험이 큽니다.,중립,8,0
C000239,2021-01-13,서초구,환경,서초구 신촌동 쓰레기 불법 투기 문제가 심각합니다.,중립,5,0
C000240,2021-01-13,송파구,복지,송파구 기초생활수급자 지원 절차를 간소화해주세요.,중립,10,0
C000241,2021-01-13,마포구,복지,청담동에 아동 돌봄센터 추가 설치가 필요합니다.,부정,11,0
C000242,2021-01-13,강남구,환경,잠실동 가로수 관리가 미흡합니다. 정기 점검 부탁드립니다.,부정,4,0
C000243,2021-01-13,서초구,기타,청담동 체육시설 이용료 할인 제도를 도입해주세요.,중립,4,0
C000244,2021-01-14,마포구,환경,마포구 하천 수질 개선이 필요합니다.,중립,4,0
C000245,2021-01-14,서초구,교통,출퇴근 시간대 서초구 상암동 버스 배차 간격이 너무 깁니다.,긍정,6,0
C000246,2021-01-14,서초구,복지,역삼동에 아동 돌봄센터 추가 설치가 필요합니다.,긍정,5,1
C000247,2021-01-14,강남구,기타,강남구 문화센터 프로그램을 다양화해주세요.,긍정,3,1
C000248,2021-01-14,강북구,교통,강북구에 자전거 도로 확충이 시급합니다.,긍정,7,0
C000249,2021-01-14,서초구,환경,상암동 소음공해로 인한 피해가 큽니다. 조치 바랍니다.,부정,3,0
C000250,2021-01-14,마포구,기타,역삼동 공공시설 예약 시스템 개선이 필요합니다.,긍정,2,1
C000251,2021-01-14,마포구,교통,마포구 지역 교통체증이 심각합니다. 신호 체계 개선이 필요합니다.,중립,10,0
C000252,2021-01-14,송파구,안전,강남역 보안등 추가 설치로 골목길 안전을 확보해주세요.,중립,3,0
C000253,2021-01-14,마포구,교통,마포구 스쿨존 과속 단속 카메라 설치를 요청합니다.,중립,3,1
C000254,2021-01-14,마포구,안전,마포구 재난 대피소 위치를 명확히 안내해주세요.,긍정,3,0
C000255,2021-01-14,마포구,교통,마포구 잠실동에 신호등이 고장났습니다. 빠른 수리 부탁드립니다.,긍정,7,0
