complaint_id,text,category,sentiment,status,date,location,language,source
KR_00700,충북 청주시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,positive,처리중,2025-09-23,충북 청주시,ko,국민신문고
KR_00329,서류 발급 절차를 간소화해 주세요. 투명성을 강화해야 합니다.,행정,neutral,완료,2025-03-19,충남 천안시,ko,국민신문고
KR_00287,기초연금 수급 자격 기준이 너무 엄격합니다. 소득 기준을 현실화해야 합니다.,복지,neutral,완료,2025-01-05,인천 연수구,ko,국민신문고
KR_00343,생활 소음 규제를 강화해야 합니다. 체계적인 관리가 필요합니다.,환경,positive,완료,2025-08-11,부산 해운대구,ko,국민신문고
KR_00509,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,negative,처리중,2024-11-21,서울 강남구,ko,국민신문고
KR_00500,경남 창원시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,negative,완료,2024-12-11,경남 창원시,ko,국민신문고
KR_00279,전남 여수시 지역 신호등 체계 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,negative,완료,2025-01-16,전남 여수시,ko,국민신문고
KR_00684,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,positive,처리중,2024-10-01,세종시,ko,국민신문고
KR_00417,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,neutral,처리중,2025-04-01,대전 유성구,ko,국민신문고
KR_00388,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,negative,접수,2024-10-25,인천 연수구,ko,국민신문고
KR_00574,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,negative,처리중,2025-07-07,대전 유성구,ko,국민신문고
EE_00045,Digital ID authentication process needs improvement. The system response time is too slow.,Digital Services,negative,resolved,2025-09-23,Kohtla-Järve,en,Estonian e-Gov Portal
KR_00369,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,negative,접수,2025-08-20,서울 강북구,ko,국민신문고
KR_00627,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,negative,처리중,2025-03-20,경기 수원시,ko,국민신문고
KR_00170,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,negative,처리중,2025-07-25,서울 강남구,ko,국민신문고
KR_00559,충남 천안시 지역 미세먼지 대책을 강화해 주세요. 주민 건강이 위협받고 있습니다.,환경,negative,완료,2025-07-03,충남 천안시,ko,국민신문고
KR_00413,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,negative,완료,2024-12-12,경북 포항시,ko,국민신문고
KR_00330,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,negative,완료,2025-03-10,경기 용인시,ko,국민신문고
EE_00099,E-school platform needs technical improvements. System crashes during peak times.,Education,neutral,submitted,2025-08-15,Pärnu,en,Estonian e-Gov Portal
KR_00112,인천 연수구 지역에 CCTV 설치를 요청합니다. 사고 예방이 시급합니다.,안전,neutral,완료,2025-08-15,인천 연수구,ko,국민신문고
KR_00394,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,negative,처리중,2024-10-15,울산 남구,ko,국민신문고
KR_00398,서울 강북구 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,neutral,접수,2025-04-05,서울 강북구,ko,국민신문고
EE_00048,Online service for education enrollment is not user-friendly. Mobile compatibility issues persist.,Digital Services,negative,submitted,2025-05-22,Tartu,en,Estonian e-Gov Portal
KR_00432,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,negative,완료,2025-09-27,충북 청주시,ko,국민신문고
KR_00471,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,positive,접수,2024-12-02,부산 해운대구,ko,국민신문고
KR_00680,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,negative,처리중,2024-10-10,전남 여수시,ko,국민신문고
KR_00434,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,positive,처리중,2025-07-22,대구 수성구,ko,국민신문고
KR_00023,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,negative,완료,2025-04-23,전북 전주시,ko,국민신문고
EE_00188,E-school platform needs technical improvements. Content quality varies significantly.,Education,neutral,in_progress,2025-02-17,Pärnu,en,Estonian e-Gov Portal
KR_00107,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,positive,완료,2025-04-29,경기 수원시,ko,국민신문고
EE_00042,Medical records access should be simplified. User guidance is insufficient.,Healthcare,negative,submitted,2025-08-23,Jõhvi,en,Estonian e-Gov Portal
EE_00195,Green spaces maintenance is inadequate. Public awareness campaigns needed.,Environment,positive,in_progress,2025-08-13,Valga,en,Estonian e-Gov Portal
KR_00532,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,positive,처리중,2025-04-16,경기 수원시,ko,국민신문고
KR_00053,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,negative,접수,2025-07-24,경기 용인시,ko,국민신문고
EE_00176,Telemedicine services require expansion. Technical support is inadequate.,Healthcare,negative,in_progress,2025-04-07,Narva,en,Estonian e-Gov Portal
KR_00145,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 긴급한 대책 마련이 필요합니다.,교통,neutral,완료,2025-08-07,대구 수성구,ko,국민신문고
KR_00301,경북 포항시 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,negative,완료,2025-04-04,경북 포항시,ko,국민신문고
KR_00084,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,neutral,완료,2025-07-24,강원 춘천시,ko,국민신문고
EE_00225,Digital learning resources are outdated. Mobile access is problematic.,Education,negative,in_progress,2024-10-09,Jõhvi,en,Estonian e-Gov Portal
EE_00206,Data synchronization between services is problematic. Mobile compatibility issues persist.,Digital Services,negative,in_progress,2024-10-09,Valga,en,Estonian e-Gov Portal
EE_00165,E-health system appointment booking is complicated. Processing time is excessive.,Healthcare,negative,resolved,2025-03-21,Rakvere,en,Estonian e-Gov Portal
EE_00197,Online service for tax filing is not user-friendly. Integration with other services required.,Digital Services,neutral,resolved,2025-03-28,Tallinn,en,Estonian e-Gov Portal
KR_00402,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,negative,완료,2025-08-26,대전 유성구,ko,국민신문고
KR_00246,주차 공간 부족 문제를 해결해 주세요. 경제적 손실이 발생하고 있습니다.,교통,neutral,처리중,2025-07-26,서울 강북구,ko,국민신문고
KR_00074,온라인 행정 시스템이 불편합니다. 업무 효율성을 높여야 합니다.,행정,negative,처리중,2025-07-27,전남 여수시,ko,국민신문고
KR_00041,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,positive,처리중,2024-12-05,대구 수성구,ko,국민신문고
EE_00098,Bus route optimization required for Haapsalu. Service frequency is insufficient.,Public Transport,positive,in_progress,2025-07-15,Haapsalu,en,Estonian e-Gov Portal
KR_00528,경남 창원시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,negative,접수,2025-05-09,경남 창원시,ko,국민신문고
KR_00131,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,positive,처리중,2025-05-28,서울 강남구,ko,국민신문고
KR_00628,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,negative,완료,2025-06-21,전북 전주시,ko,국민신문고
KR_00001,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,negative,완료,2024-10-16,울산 남구,ko,국민신문고
KR_00678,인천 연수구 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,negative,완료,2025-08-16,인천 연수구,ko,국민신문고
KR_00698,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,negative,완료,2025-04-07,강원 춘천시,ko,국민신문고
KR_00225,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,negative,처리중,2025-01-30,울산 남구,ko,국민신문고
KR_00445,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,neutral,완료,2025-08-21,광주 서구,ko,국민신문고
KR_00648,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,neutral,처리중,2025-05-09,울산 남구,ko,국민신문고
KR_00218,제주시 공원 관리가 제대로 되지 않고 있습니다. 생활 환경이 악화되고 있습니다.,환경,neutral,접수,2024-12-15,제주시,ko,국민신문고
EE_00155,Air quality monitoring should be enhanced. Public awareness campaigns needed.,Environment,negative,in_progress,2024-11-05,Tallinn,en,Estonian e-Gov Portal
EE_00052,Data synchronization between services is problematic. Integration with other services required.,Digital Services,negative,in_progress,2025-06-18,Tartu,en,Estonian e-Gov Portal
EE_00115,Insurance claim process is too complex. User guidance is insufficient.,Healthcare,negative,submitted,2024-12-24,Narva,en,Estonian e-Gov Portal
KR_00098,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,negative,완료,2025-08-14,경남 창원시,ko,국민신문고
KR_00004,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,negative,완료,2025-07-08,경남 창원시,ko,국민신문고
EE_00127,Air quality monitoring should be enhanced. Investment in infrastructure required.,Environment,neutral,resolved,2024-11-27,Rakvere,en,Estonian e-Gov Portal
KR_00271,도시 녹지 공간을 확대해 주세요. 주민 건강이 위협받고 있습니다.,환경,negative,완료,2024-12-06,서울 강남구,ko,국민신문고
EE_00256,Online service for healthcare booking is not user-friendly. User interface needs modernization.,Digital Services,negative,in_progress,2025-07-05,Jõhvi,en,Estonian e-Gov Portal
EE_00051,Real-time tracking system not accurate. Information display is inadequate.,Public Transport,positive,resolved,2025-07-08,Võru,en,Estonian e-Gov Portal
EE_00017,Accessibility features need improvement. Service frequency is insufficient.,Public Transport,negative,in_progress,2025-05-22,Valga,en,Estonian e-Gov Portal
KR_00403,광주 서구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,negative,접수,2025-07-31,광주 서구,ko,국민신문고
KR_00229,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,negative,완료,2025-07-14,광주 서구,ko,국민신문고
EE_00224,Medical records access should be simplified. Processing time is excessive.,Healthcare,negative,resolved,2025-03-11,Jõhvi,en,Estonian e-Gov Portal
KR_00144,부산 해운대구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,negative,처리중,2025-05-03,부산 해운대구,ko,국민신문고
EE_00084,School enrollment system is confusing. System crashes during peak times.,Education,negative,resolved,2025-05-23,Narva,en,Estonian e-Gov Portal
KR_00307,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,negative,처리중,2025-08-13,경기 수원시,ko,국민신문고
KR_00345,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,negative,접수,2025-04-10,경북 포항시,ko,국민신문고
KR_00673,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,neutral,처리중,2025-06-29,충북 청주시,ko,국민신문고
EE_00198,Online service for healthcare booking is not user-friendly. The system response time is too slow.,Digital Services,neutral,in_progress,2025-04-18,Pärnu,en,Estonian e-Gov Portal
KR_00483,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,negative,처리중,2025-05-25,인천 연수구,ko,국민신문고
KR_00564,출퇴근 시간 경기 수원시 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,positive,처리중,2025-01-04,경기 수원시,ko,국민신문고
KR_00674,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,neutral,처리중,2025-07-29,서울 강북구,ko,국민신문고
KR_00274,서울 강북구 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,negative,처리중,2025-02-02,서울 강북구,ko,국민신문고
KR_00182,충북 청주시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,neutral,처리중,2025-04-20,충북 청주시,ko,국민신문고
KR_00021,가로등이 고장난 지 오래되었습니다. 예방 대책을 마련해 주세요.,안전,neutral,접수,2024-11-04,대구 수성구,ko,국민신문고
EE_00184,The e-government portal is experiencing technical issues. Mobile compatibility issues persist.,Digital Services,negative,in_progress,2025-07-02,Tartu,en,Estonian e-Gov Portal
KR_00282,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,neutral,처리중,2025-05-15,서울 강남구,ko,국민신문고
KR_00440,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,negative,접수,2024-11-24,세종시,ko,국민신문고
KR_00333,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,negative,처리중,2024-11-17,대구 수성구,ko,국민신문고
EE_00146,Sustainable energy initiatives needed. Long-term planning is essential.,Environment,negative,resolved,2024-12-05,Jõhvi,en,Estonian e-Gov Portal
KR_00577,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,positive,처리중,2025-02-06,대구 수성구,ko,국민신문고
KR_00054,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,neutral,접수,2025-05-23,서울 강북구,ko,국민신문고
KR_00235,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,negative,완료,2025-05-29,전남 여수시,ko,국민신문고
KR_00630,대전 유성구 지역에 CCTV 설치를 요청합니다. 주민 불안감이 증가하고 있습니다.,안전,negative,완료,2024-10-12,대전 유성구,ko,국민신문고
KR_00207,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,neutral,완료,2025-02-10,충남 천안시,ko,국민신문고
KR_00461,서울 강북구 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,positive,접수,2025-02-01,서울 강북구,ko,국민신문고
KR_00245,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,negative,접수,2024-10-31,경북 포항시,ko,국민신문고
KR_00101,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,negative,처리중,2025-06-22,세종시,ko,국민신문고
EE_00233,Parent portal functionality is limited. Content quality varies significantly.,Education,negative,resolved,2025-06-28,Tallinn,en,Estonian e-Gov Portal
EE_00161,E-school platform needs technical improvements. Mobile access is problematic.,Education,negative,resolved,2024-12-17,Kohtla-Järve,en,Estonian e-Gov Portal
KR_00114,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,negative,처리중,2025-02-20,충남 천안시,ko,국민신문고
EE_00061,Recycling facilities are insufficient. Long-term planning is essential.,Environment,negative,in_progress,2024-11-25,Viljandi,en,Estonian e-Gov Portal
KR_00423,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,negative,처리중,2025-03-19,경남 창원시,ko,국민신문고
EE_00107,Student data management needs attention. Teachers need better training.,Education,negative,resolved,2024-12-29,Keila,en,Estonian e-Gov Portal
EE_00124,Mobile app functionality should be enhanced. The system response time is too slow.,Digital Services,negative,in_progress,2024-10-19,Keila,en,Estonian e-Gov Portal
KR_00653,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,neutral,처리중,2024-10-28,경북 포항시,ko,국민신문고
EE_00085,Bus route optimization required for Tartu. Better coordination required.,Public Transport,negative,in_progress,2025-06-08,Tartu,en,Estonian e-Gov Portal
KR_00142,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,neutral,접수,2024-11-12,전북 전주시,ko,국민신문고
KR_00209,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,negative,접수,2025-02-03,서울 강북구,ko,국민신문고
KR_00062,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,negative,처리중,2025-05-20,대구 수성구,ko,국민신문고
KR_00583,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,negative,처리중,2024-12-10,대구 수성구,ko,국민신문고
KR_00009,대구 수성구 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,negative,처리중,2025-03-25,대구 수성구,ko,국민신문고
EE_00147,E-health system appointment booking is complicated. Elderly citizens struggle with the system.,Healthcare,negative,in_progress,2025-03-17,Jõhvi,en,Estonian e-Gov Portal
KR_00595,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,neutral,처리중,2024-11-14,울산 남구,ko,국민신문고
KR_00242,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,negative,처리중,2024-11-02,인천 연수구,ko,국민신문고
EE_00067,The e-government portal is experiencing technical issues. User interface needs modernization.,Digital Services,positive,submitted,2025-01-22,Narva,en,Estonian e-Gov Portal
EE_00191,Digital learning resources are outdated. Content quality varies significantly.,Education,negative,submitted,2024-11-26,Rakvere,en,Estonian e-Gov Portal
KR_00407,경기 용인시 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,negative,처리중,2025-02-25,경기 용인시,ko,국민신문고
KR_00305,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,negative,처리중,2025-01-29,서울 강북구,ko,국민신문고
KR_00038,전북 전주시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,negative,접수,2025-08-29,전북 전주시,ko,국민신문고
KR_00650,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,negative,접수,2025-05-07,광주 서구,ko,국민신문고
KR_00064,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,positive,완료,2024-11-12,부산 해운대구,ko,국민신문고
KR_00641,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,negative,완료,2025-01-08,경기 용인시,ko,국민신문고
KR_00554,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,negative,처리중,2025-07-29,세종시,ko,국민신문고
KR_00359,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,negative,접수,2024-11-14,대구 수성구,ko,국민신문고
KR_00317,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,negative,접수,2025-04-23,울산 남구,ko,국민신문고
KR_00247,충남 천안시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,neutral,처리중,2025-06-24,충남 천안시,ko,국민신문고
